User name,Ratings,Title,Review
Ashutosh Gupta,5,Great product,Camera Awesome and overall mobile look is Cool
Salman khan,5,Brilliant,Just WOW!! Best in all segment!!
Subham Roy,5,Must buy!,Awesome 😎🍫🥰
Pratik Raj,5,Best in the market!,Superb performance and well.
Flipkart Customer,5,Highly recommended,Excellent product awesome camera super fast
Flipkart Customer,5,Worth every penny,CAMERA IS SUPERB
Rohith Menon,5,Simply awesome,Best ❤️🔥🔥
Rishabh Srivastava,5,Highly recommended,Just Awesome Best phone forever and Good Gaming Experience and Battery life .Specially Camera superb ❤️❤️❤️
Dr Ch Ravi Shanker ,5,Brilliant,Awesome iPhone with best camera quality 48 megapixel is 👌
Flipkart Customer,5,Brilliant,My first iPhone.. And full satisfied..
Debasish Rout,5,Excellent,"Upgraded from XR to 14 pro, amazing phone with advanced features limited to just pro models, stock availability is too low. Got mine by luck!If youre upgrading from iPhone 11 /11 pro  and below you'll love the update"
Susovan Mondal,5,Perfect product!,Awesome. Just loving it.
Upendra Singh,4,Delightful,Mind blowing performance.
Abhishek  Yadav,5,Fabulous!,More than expected! Battery backup has exceptionally increased ⚡️Absolutely over priced but worth it🔥
Abhishek  Rajput,5,Brilliant,"Earlier I had plan to go with S23+ but buying a iphone is a personal preference, i hve gone through lots of reviews and i came to the conclusion that as a IT person I/we look for smother and faster performance so iphone is significantly better than android. I would rate s23+ 10/10 and even iphone 14 pro 10/10 as the only difference i could see is the os."
Gautam Aggarwal,5,Brilliant,Fantastic product even though it's just an iterative upgrade to iphone 13 pro. The deep purple looks purple when the light hits the phone a certain way and it's beautiful. Dynamic island is very practical and useful. Hopefully it will get better when 3rd party developers start making use of it.Flipkart's delivery was quick and hassle free. The order was delivered on the launch date and was packed well.
karan sapra,5,Highly recommended,Only buy if you want to show off nothing else in this phone
Mukesh Choudhry,5,Terrific purchase,10 years of androids user.Last phone was k20 pro Coming android to iPhone its a learning curve in software department.Camera is goodDisplay is awesomeBattery is goodDesign n feel is superb.
Aashish Gupta,5,Wonderful,Fantastic picture quality
siddhartha  soren,4,Value-for-money,It is truly amazing IPhone☺️
Neelendra  Singh,5,Just wow!,Worth the Money✨Brilliant life batteryThe wallpaper and customisation updates are awesomeThe camera clicks a very clear picEkart made a super fast delivery👍Thanks Ekart!
Avijyoti Pal,5,Brilliant,Worth upgrading from iPhone 11 to iPhone 14 Pro 😊
Suman Chattaraj,5,Terrific purchase,"Best mobile, There is no language to give a review, really amazing iphone 14pro"
RISHAV  kumar,5,Terrific,"Everything is premium never used a phone like this , camera quality is unbelievable feel like using more than DSLR.Thanks to Flipkart for delivery in 2 days only"
Karthik Kommoju,5,Classy product,iPhone 14 pro is definitely a premium device with exceptional camera and solid build quality with excellent design. The phone definitely weighs more compared to regular 13 and 14. The dynamic island is useful in many cases and some apps are making use of this feature really well with great animations especially swiggy. Loved the in hand feel of the mobile. Compact in size and easy to use with one hand
Akshay Barya,5,Mind-blowing purchase,One of the great device
Omkar N,5,Brilliant,What to say!! I got my dream phone 👌🏻
Rohit Kumar,4,Value-for-money,In love with the display 💜
Dr. Sujith  Babu,5,Fabulous!,Premium feel... 10/10 satisfied.... Superbbb...
Flipkart Customer,4,Good choice,Overall nice !
Akhilesh Verma,1,Expected a better product,After 3 months of usage battery all of a sudden draining very fast and phone remain warm all the time.Not expected from iPhone.Planning to sell it now.bad experience
Subodh Kumar,5,Awesome,Worth money
Vishnu T das,5,Wonderful,"My first pro model, upgraded from 12. Thank you flipkart for the discount price compared to shops."
Sonu Kumar,5,Great product,Best camera phone in 2023
Charu Sharma,5,Highly recommended,Just one word awsm
Sharanya Ramrshan r,5,Terrific,The apple iPhone 14 pro is a pro star.
Rohit Modi,5,Mind-blowing purchase,Awesome mobile
Vedant Rawas,4,Really Nice,"Here's some advice.. if u r a person who keeps everything organized, then don't buy this phone.. organizing in iPhone is a nightmare.. otherwise, everything is great in this device"
Ravi,4,Worth the money,Similar as 13 pro
Sarvesh Saxena,5,Wonderful,"Upgraded from iPhone 11 pro to iPhone 14 pro, awesome phone camera, Display quality good very fast delivery.⭐️⭐️⭐️⭐️⭐️"
Sourabh Mishra,5,Brilliant,"Upgraded from 12 to 14 pro, display and camera both are awesome. Had to wait for deep purple a bit longer. Used only for a week as of now, can elaborate more about this after a month or so. But the phone is Just FABULOUS!"
Nilkanth Deshpande,5,Brilliant,Super excellent
Flipkart Customer,5,Excellent,Super
Nur Selim Biswas,5,Classy product,Best hand experience but battery could be more mh
Kuchu Harsha,5,Great product,My first iPhone. Loved it !!
Flipkart Customer,4,Nice product,Touch and camera is unbelievable. other things are ok. Not felt so much difference from other iPhones.Drains battery very fast.
Milan Gurung,5,Terrific,I'm glad tat i hav purchased its totally worthy .
MANJEET SINGH,5,Must buy!,Nice phone
Manish Kant,5,Terrific,Fast delivery and great performance
Minesh Desai,5,Mind-blowing purchase,Amazing fast delivery. Best delivery experience with complete and satisfied device check upon delivery.
Vimlaben Parmar,5,Terrific purchase,Nice and beautiful phone
RK Satya,5,Super!,Camera RAW quality is outstanding. Superb quality. And the pro motion display is so smooth. Loved it.
Chandan Prabhat,5,Wonderful,A Real Pro
Saikumar Reddy,5,Perfect product!,Good
Flipkart Customer,5,Excellent,Voice clarity is a problem
Vaibhav Agrawal,5,Highly recommended,Great and real product. Absolutely trustworthy seller with the best price drop available in the market.
Deta Umpe,5,Just wow!,"Everything as expected, am lovin this beast. Happy customer!"
Rahul Chikane,5,Brilliant,Quite heavy from other I phone series
Flipkart Customer,5,Wonderful,Superb phone 👍🏼
shringin ambli,5,Great product,Super phone. Best price when I bought. Super experience with amazing camera.
Hemsagar  Patel,5,Worth every penny,Apple Is Love
Sreejith K S,5,Great product,Switched from android to ios (from s20 fe to 14 pro). Camera and battery are commendable (probably the best in the market).
Ranjodh  Kumar ,5,Perfect product!,Ok
Ashutosh Kumar,5,Wonderful,"Before this i had iphone 13 pro, i got it for my girlfriend birthday gift. Amazing everything, and just one thing to say it is what it is🔥Delivery is quick. Thanks flipkart❤️"
Rahul  Jangir,5,Must buy!,amazing product
SIDDHARTH GAUTAM,5,Excellent,Working well and timely delivered
Flipkart Customer,3,Decent product,It's average
Flipkart Customer,5,Perfect product!,Apple iPhone 14 Pro
Flipkart Customer,5,Super!,Awesome
Ravindra  P,5,Just wow!,Good one
Flipkart Customer,5,Super!,Amazing
Rithik  L,5,Terrific purchase,This is an excellent product✌🏻
Flipkart Customer,5,Terrific purchase,Very good
vinay kumar yadav,5,Best in the market!,Good looking 🤩
Sateesh B,4,Very Good,Good
Mohit maurya,5,Highly recommended,Good
Sharwan Singh,5,Must buy!,Awesome
Arvinder  Singh,5,Great product,Got 100% genuine apple iPhone ( indian version)
Akhilesh Kumar Jaiswal,5,Excellent,Awesome phone worth shifting from android to iPhone
Raju Vemula,5,Must buy!,Excellent thank you Flipkart 🤝
Flipkart Customer,5,Highly recommended,Super 💖💖💖
Binod Gupta,5,Just wow!,I love ❤️  this phone
Rishu Mishra,5,Excellent,Superb
Sachin M,5,Simply awesome,Nice
Hemant Rokade,5,Excellent,Best
Mohammed Hussain  Hussein ,4,Value-for-money,😊 Best phone. I'm happy. 😊
Flipkart Customer,5,Best in the market!,Awesome
Durga Meena,5,Awesome,Nyc phone
Ritik Kumar,5,Classy product,Nice pic of
Gaurav Sonal,1,Not recommended at all,Wrost product facing many issues.
Flipkart Customer,5,Great product,Amazing product
Swagat Sahoo,3,Does the job,Expected better camera
Noel  John,5,Terrific,"Best Phone I have ever used.I am coming from android to iPhone for the first time and this is the best experience I have ever received.If you have budget, just go for it:)"
Munna  Pandit,5,Awesome,Nice phon
Bijender Lamba,5,Perfect product!,Very nice
Shivam Sarkar,5,Just wow!,Great Phone
Navjeet Singh,5,Simply awesome,Perfect
Flipkart Customer,5,Worth every penny,Perfect
Rohit Kushwaha,5,Could be way better,Camera is very poor
Rahul kumar Yadav,4,Nice product,Battery is still issue in 6.1 apple handset. Camera needs little more improvement for night photos.Performance is as usual as Iphone way better than costly android phones.
